19U04+000	aliceffekt	AMP Festival 2025, Montreal
19M10+000	merveilles	Merveilles Meetup, Undisclosed Island
19J13+000	oquonie	Oquonie Playdate Release
19H10-874	reading	Woolf's Books & Portraits, SSD Bookmark
19H01-872	paper logic	Paper OR Gate
19H00.865	paper register	4 x 3 Paper Program
19G12.866	paper product	12 x 34 Paper Program
19G11.867	paper rewriting	2 - 5 Paper Program
19G10-868	paper sum	3 + 1 Paper Program
19G09.871	paper memory	Fortune Memory Storage
19G08.870	paper memory	Fortune Memory Query
19G07.869	paper memory	Folded Fortune Memory
16G06-873	paper product	12 x 34 Paper Program, no pen
19G03-864	skates	Them 909, 2021
19F07-166	flick	Flickgame Port on Varvara
19E10-863	dexe	Dexe Redesign
19D12-782	nebu	Cozyputing
19D04.862	utilities	faeputing
19D03-861	fitness	Koi
19C11-859	hpda	The Infamous Hipster PDA
19C10.858	pencil dice	A Pencil Dice
18Y05+000	talk	Iterations 2024, Utrecht(online)
18Y04+000	aliceffekt	AMP 18, Montreal
18Y04+000	canada	Travel to Montreal
18X04+000	merveilles	Merveilles Meetup, Seattle
18X02+000	talk	Handmade 2024, Seattle
18V11+000	neauismetica	Completed Drawtober 2024
18V10-855	oekaki	Vampire Qui
18V09-854	es	Duneskid
18V07-853	paradichlorisse	Rlionn in Vetetrandes Cutting
18V06-852	aitasla	Lunar Storm
18V05.851	oekaki	Adjudicator Daria(Bill Peckmann)
13V02-690	vertale	Compression Tunnels Flythrough
18V01-850	eaurison	Glider Landing
18V00.676	duomo	Refineries
18U12-848	pocket rewriting	Multiset Rewriting Pocket Computer
18U11-678	duomic oylaen	Signalter
18U10.792	oekaki	Scarlette & Star(Steven Appleby)
18U09-695	andes castel	The Ehrivevnv Gate
18U08-791	whiinders	Perpetually Balanced Rings
18U07.687	vertale	Coelacanth in Vertale(Nihei)
18U06-799	dilitriel	Pickup Facade
18U05-683	risan aldeth	Windswept Depot
18U04-748	laeisth	Welcoming back the Birds
18U03-692	es	The Plains
18U02.697	dilitriel	Support Conduits
18U01.772	soies injection	Façadisme (Schuiten/Peeters)
18U00.770	longest end	Feu Debris
18T13-634	rlionn	Ahn Rlionn Vessel
18T12-763	kirleane	Reaching the Opal Valve
18T11-632	soies injection	Débris D'Urbicande (Schuiten/Peeters)
18T10-684	risan aldeth	Wasting Time in Aldeth
18T09-754	laeisth	Laeisth entry from Dilitriel
18T08-623	vertale	Half Explosion
18S01-572	m291	A music player inspired by the ipod
18O03-218	hundred rabbits	22° Rain Halo, Upper Quadrant
18O02-201	the sublime	22° Rain Halo
18M12-857	alaska	Heading back south
18M09-849	alaska	Platform Seastead, Ruth
18M06-837	oekaki	Spellcaster Qui
18L13-846	alaska	Petersburg
18L12-847	pino	Moored in Petersburg, Alaska
18L06-845	nomad	Drifting in Ratz, Alaska
18L02-844	sketchbook	JSRF
18L00+856	alaska	Sail to Alaska
18K10+000	canada	Sail to Prince Rupert, Canada
18H11-843	modal	Modal In A Postcard
18A05-842	majmasz	The Selfbegotten
18A02-340	pino	Moored in Victoria, Canada
17Y12-841	travel	Dallas Road, Victoria
17Y09-838	wiktopher	Wiktopher Cover
17Y08-839	wiktopher	Durdle
17Y07-840	wiktopher	Solresol Passage
17X07+836	wiktopher	Wiktopher Release
17X02-835	elmet brae	The Land
17X01+000	elmet brae	Elmet Brae Release
17W12-828	solresol	Doredofado resol remiresol dosolfasi
17W10+000	thousand rooms	Translated in Solresol
17W09+789	potato	Potato Uxn Release
17V01+000	canada	Travel to Victoria
17U13-834	oekaki	Niko(Usamaru Furuya)
17U10-833	oekaki	Cybersix(Carlos Meglia)
17U02-832	sketchbook	Hectic(MDK)
17U00-831	oekaki	Abara(Tsutomu Nihei)
17T11-830	oekaki	Personage(Peter Chung)
17T08-829	longest end	Teleogic Rug Pulling
17T04-827	ehrivevnv	Sign that looks like letters
17S13+000	canada	Travel to Montreal
17S11+000	talk	Strange Loop 2023, St. Louis
17S08+000	travel	Train from Seattle To Saint-Louis
17R08-825	oekaki	Large Pollen
17R07-824	oekaki	Abducted Child with Sanakan's Blade
17R06-823	actors	Ayatori
17R03-540	neonev	Sleeves
17R00-414	oekaki	Venise Celeste(Moebius)
17Q12-822	yajnev	Bursting At The Seams
17Q09-821	andes	Es Posting
17Q08-820	sketchbook	Food Converter Repairs
17Q07-819	soies	Andes' Rope
17Q06-818	yajnev	Before the turn
17Q05-817	sketchbook	Conversing with the birds
17Q04+000	oekaki	Oekaki Uxn Release
17P09+000	varvara	Varvara Specs One
17P04+000	uxn	Uxn Specification Frozen
17O05-783	bicycle	The Bicycle Interpreter
17M06-815	hundred rabbits	In Princess Louisa Inlet
17M05-814	pino	Moored in Princess Louisa Inlet
17M04+816	canada	Sail to Princess Louisa, Canada
17L11-813	ethics	Coline Serreau
17K06-811	merveilles	Green Hands At Dawn
17K05-812	merveilles	Merveilles, by Rekka Bellum
17K04-810	merveilles	Merveilles, by Helvetica Blanc
17H02-164	oquonie	Nastazie's World
17H00+130	oquonie	Oquonie Uxn Release
17G12-809	smalltalk	Hilbert in Smalltalk-80
17F11-808	interaction nets	Covering a Net, Yves Lafont
17F07-807	gly format	Gly sprites in Left
17E13+806	alicef	Biosonic 2023 Live, with Anju
17E12+000	talk	Biosonic 2023, Galiano Island
17D01+000	alicef	Lovebyte Demoscene Party 2023
16Y04-805	beetbug	Beetbug Step Debugger
16X08-804	uxntal	Rostiger's Uxn Zine
16W13+000	merveilles	Merveilles Meetup, Seattle
16W11+000	talk	Handmade 2022, Seattle
16W09-803	metadata	Maeve ROM Metadata
16V09-802	duomic oylaen	Duomic Sublevels
16V07-801	es	Storm Drains
16V06-800	whiinders	It feels okay.
16V05-764	paradichlorisse	Paradichlorisse in the Yajnevic Valve
16V02-744	longest end	Remains of the Duomic Archives
16U13-714	dilitriel	Gust on the Valentinel Bridge
16U12-713	risan aldeth	Crossing the Innerways
16U10-751	rlionn	Oasis
16U09-685	duomo	Sunken Terminal in Duomo
16U06-624	neausea	Library of Sand
16U05-588	vetetrandes	Autoconstruction Reef
16U03-501	duomo	Ceiling Stairs
16U02-240	vertale	The Yajnev convoy
16U01-208	actors	Neonic Consoles
16T13-122	risan aldeth	Mirror Repairs Shift
16T12-017	kirleane	Crossing the Risan Aldeth node
16T09-798	soies injection	Andes through the Injection Shaft
16T08-793	eaurison	Waiting for pickup
16R10-796	playdate sleeve	Playdate in bed
16R09-797	playdate sleeve	Playdate sleeve shut
16R08-795	playdate sleeve	Playdate sleeve open
16R07-794	playdate sleeve	Sleeve Parts
16Q05-790	devlog	FUCK COMPUTERS #3
16Q01-826	solrela	La Solsilasol Remilami
16O03+788	cccc	CCCC Uxn Release
16M09+000	talk	NIME 2022, Auckland
16M05-787	paradichlorisse	The Stream
16L10-786	deliberate	In Melanie Cove
16L06+785	canada	Sail to Desolation Sound, Canada
16J13-784	logic	The Becekew Warbler
16I05+000	bicycle	Varvara's Bicycle Release
16I03-779	slide rule	Slide Rule Collection
16I02-780	slide rule	Hemmi Bamboo Backface S25
16I02-781	slide rule	Hemmi Bamboo Frontface B42
16F08+000	talk	LibrePlanet 2022, FSF
16F07+000	alicef	Algorave 10th Birthday Party
16E07-778	noodle	Noodle Redesign
16E05+000	alicef	Behind The Screens Live
16D05-777	hako	The Hako Sonozai
16C06-776	varvara	The Sound Of Plumpkins
16C04+775	adelie	Adelie Uxn Release
16B09+000	yufo	Yufo Uxn Release
15Z13-774	artwork	Fantomes Zine
15Y12+769	turye	Turye Uxn Release
15Y11+000	catclock	Catclock Uxn Release
15Y08+000	marabu	Marabu Uxn Release
15Y03+766	busy doing nothing	Busy Doing Nothing Paperback
15Y01-771	busy doing nothing	Ninj Raincoat
15X09-765	theme	Varvara Applications
15V11+000	travel	Travel to Montreal, Canada
15V02+000	donsol	Donsol Varvara Release
15U08-762	aitasla	Aitasla Reflector
15U06-761	vetetrandes	Yajnevian Throne
15U05-760	laeisth	Dei Dain Aperture
15U04-759	neau	The Composer Bridge
15U03-758	vertale	Outside Docks
15U02-757	soies machine	The Yajnev Tunnel
15U01-756	paradichlorisse	Kirleane Junction Ribbon
15U00-755	whiinders	Ceil Tova
15T12-753	characters	Into the Duomic Substructure
15T11-752	feu	The Traversible
15T08-750	aitasla	Reflector Repairs
15T07-749	duomo	Gulfian Basins
15S03+000	talk	AES 151, Audio Engineering Society
15S02+000	talk	Emily Carr University, Vancouver
15R09+000	oscean	Rebuilt Oscean in Uxntal
15Q09-399	canada	Sail to Saturna Island, Canada
15Q07-398	playdate	Varvara PPU on the Playdate
15P13-396	canada	Forest Fires Smoke, in Salt Spring II
15P12-395	canada	Forest Fires Smoke, in Salt Spring I
15P07-360	alicef	Cosmic Metal Version
15P02-773	personal	Car in Silva Bay
15O01-054	snarf	Because snarf is what it does
15N08+000	alicef	Flash Crash, Livestream
15N02-020	ufx format	Proportional Fonts in Uxn
15M08+000	talk	SciFi Writers Group: Solarpunk, London
15M05+000	orca	Orca Uxn Release
15K06+738	dexe	Dexe Uxn Release
15L08+322	left	Left Uxn Release
15K03+000	noodle	Noodle Uxn Release
15J11+747	nasu	Nasu Uxn Release
15I09+000	talk	Distortion Festival, Geneva
15H02-746	nasu	Nasu Uxn Prototype II
15F07-745	noodle	Noodle in Uxn
15E05-743	nasu	Nasu Uxn Prototype I
15D11-742	varvara devlog	We are now in the osdev business
15D05+000	busy doing nothing	Busy Doing Nothing Release
15D03-741	radio	Baofeng UV-9R+
15C11-740	busy doing nothing	The Logbook Book
15C06-739	uxn	Uxn Sticker
15C05-768	nutrition	Freshly Milled Flours
15C02+000	alicef	Completed Jamurary 2021
15B13+000	uxn	Uxn is born!
15B06+737	dito	Dito Desktop Release
15A09+000	left	Left Desktop Release
15A08-736	left	Left, ANSI C version
